Reactions	DRAM	Prokka	RASTtk	Intersection	2+ Annotations	Priority List	Majority Rule	Union	Bayesian Pangenome Core
rxn03669	1	1	1	0	1	1	1	1	1
rxn12023	0	1	0	0	0	1	1	1	1
rxn19820	0	1	0	0	0	0	0	1	0
rxn13728	0	1	0	0	0	1	1	1	0
EX_cpd00001	2	2	2	2	2	2	2	2	0
rxn11746	0	0	0	0	0	0	0	0	1
rxn03424	1	0	1	0	0	1	1	1	0
rxn00675	1	1	1	1	1	1	1	1	1
rxn14397	0	1	0	0	0	0	0	1	0
rxn08001	0	1	0	0	0	0	0	1	0
rxn00747	1	1	1	1	1	1	1	1	0
rxn06096	1	1	1	0	1	1	1	1	1
rxn06595	0	1	0	0	0	1	1	1	1
rxn45425	0	1	0	0	0	0	1	1	0
rxn02449	1	1	1	1	1	1	1	1	0
rxn07278	0	0	0	0	0	0	0	0	1
rxn04339	0	0	0	0	0	0	0	0	1
rxn04313	0	0	0	0	0	0	0	0	1
rxn03402	1	1	1	0	0	1	1	1	1
rxn08130	0	1	0	0	0	0	1	1	0
rxn16828	1	0	1	0	0	1	1	1	0
rxn08767	0	1	0	0	0	0	0	1	0
rxn16794	1	1	1	0	1	1	1	1	0
rxn00472	0	0	0	0	0	0	0	0	1
rxn06449	1	1	1	0	1	1	1	1	0
rxn04831	1	1	1	0	1	1	1	1	1
rxn01045	1	1	1	1	1	1	1	1	0
rxn00193	0	0	0	0	0	0	0	1	0
rxn01243	0	1	0	0	0	0	0	1	0
rxn08017	0	0	0	0	0	1	1	1	0
rxn08022	0	0	0	0	0	1	1	1	0
rxn05386	0	0	0	0	0	0	0	1	0
rxn09106	0	1	0	0	1	0	1	1	0
rxn01486	0	0	0	0	0	0	0	1	0
rxn11828	0	1	0	0	0	1	1	1	1
rxn13960	0	0	0	0	0	0	0	0	1
rxn09109	0	1	0	0	1	0	1	1	0
rxn00806	1	1	1	1	1	1	1	1	0
rxn24718	1	1	1	1	1	1	1	1	0
rxn22482	0	1	0	0	0	1	1	1	0
rxn07666	0	0	0	0	0	0	0	0	1
rxn03043	1	1	1	0	1	1	1	1	0
rxn00859	1	1	1	1	1	1	1	1	0
rxn07573	0	0	0	0	0	0	0	0	1
rxn04271	0	0	0	0	0	0	0	1	0
rxn00225	1	1	1	1	1	1	1	1	0
rxn08043	1	1	1	1	1	1	1	1	0
rxn02166	0	1	0	0	1	1	1	1	0
rxn08821	0	1	0	0	1	1	1	1	0
rxn06432	1	1	1	0	1	1	1	1	0
rxn09199	0	1	0	0	1	0	1	1	0
rxn02768	0	0	0	0	0	0	0	0	1
rxn07113	0	0	0	0	0	0	0	0	1
rxn13667	0	1	0	0	0	0	0	1	0
rxn01930	1	1	1	1	1	1	1	1	0
rxn08192	1	1	1	1	1	1	1	1	0
rxn15213	1	1	1	0	1	0	0	1	0
rxn00292	0	0	0	0	0	1	1	1	0
rxn07664	0	0	0	0	0	0	0	0	1
rxn12013	0	1	0	0	0	1	1	1	0
rxn07230	0	0	0	0	0	0	0	1	0
rxn05454	0	0	0	0	0	0	0	1	0
rxn05127	0	0	0	0	0	0	0	1	0
rxn05339	1	1	1	0	1	1	1	1	0
rxn07998	0	1	0	0	0	0	0	1	0
rxn11612	0	1	0	0	1	0	0	1	0
rxn08806	0	1	0	0	1	1	1	1	0
rxn01807	0	0	0	0	0	0	0	1	0
rxn03901	1	1	1	1	1	1	1	1	0
rxn03568	0	0	0	0	0	0	0	0	1
rxn13741	0	1	0	0	0	0	0	1	0
rxn16615	0	1	0	0	0	1	1	1	0
rxn05413	0	0	0	0	0	0	0	1	0
rxn03839	1	0	1	0	0	1	1	1	0
rxn08839	0	1	0	0	1	1	1	1	0
rxn12033	0	1	0	0	0	1	1	1	1
rxn13971	0	0	0	0	0	1	1	1	0
rxn07628	1	0	1	0	0	1	1	1	1
rxn00346	0	1	0	0	0	1	1	1	0
rxn00890	1	1	1	0	1	0	0	1	0
rxn13671	0	1	0	0	0	0	0	1	0
EX_cpd00205	0	0	0	0	0	2	2	2	0
rxn01257	1	1	1	1	1	1	1	1	0
rxn06864	1	1	1	0	1	1	1	1	1
rxn11719	0	0	0	0	0	0	0	1	1
rxn00629	0	1	0	0	1	0	1	1	0
rxn10290	0	0	0	0	0	1	1	1	0
rxn00510	1	0	1	0	0	1	1	1	0
rxn10233	0	1	0	0	1	0	1	1	0
rxn14399	0	0	0	0	0	0	0	1	0
rxn00652	0	0	0	0	0	0	0	0	1
rxn03243	1	1	1	1	1	1	1	1	0
rxn00514	1	1	1	0	1	0	0	1	0
rxn03617	1	0	1	0	0	1	1	1	1
rxn10204	0	1	0	0	1	1	1	1	0
rxn07976	0	0	0	0	0	0	0	1	0
rxn08502	1	1	1	1	1	1	1	1	0
rxn05287	0	0	0	0	0	0	0	1	0
rxn01649	1	1	1	0	1	1	1	1	0
rxn05361	0	0	0	0	0	0	0	1	0
rxn00711	1	1	1	1	1	1	1	1	0
rxn08298	0	1	0	0	1	1	1	1	0
rxn15582	0	1	0	0	0	0	0	1	0
rxn04457	1	1	1	1	1	1	1	1	0
rxn03440	0	0	0	0	0	0	1	1	0
rxn00181	0	0	0	0	0	0	0	1	0
EX_cpd11597	0	0	0	0	0	2	2	2	0
rxn03567	0	0	0	0	0	0	0	0	1
rxn00882	1	1	1	1	1	1	1	1	0
rxn07846	1	1	1	0	0	1	1	1	1
rxn00119	1	1	1	1	1	1	1	1	0
rxn00917	1	1	1	1	1	1	1	1	0
rxn09896	0	1	0	0	0	0	0	1	0
rxn03442	0	0	0	0	0	0	0	0	1
rxn00404	0	0	0	0	0	0	0	1	0
EX_cpd00041	2	2	2	2	2	2	2	2	0
rxn05334	1	1	1	1	1	1	1	1	0
rxn10210	0	1	0	0	1	1	1	1	0
EX_cpd00106	0	0	0	0	0	2	2	2	0
rxn05453	0	0	0	0	0	0	0	1	0
rxn08312	0	1	0	0	1	0	1	1	0
rxn03136	1	1	1	1	1	1	1	1	0
rxn42709	0	1	0	0	0	0	1	1	0
rxn23589	1	1	1	1	1	1	1	1	0
EX_cpd00129	2	2	2	2	2	2	2	2	0
rxn06737	0	1	0	0	0	0	1	1	0
rxn03054	0	0	0	0	0	0	0	0	1
rxn03129	0	0	0	0	0	0	0	0	1
rxn09037	1	1	1	0	1	1	1	1	0
rxn00124	0	0	0	0	0	0	0	1	0
rxn00929	1	1	1	1	1	1	1	1	0
rxn09101	0	1	0	0	1	0	1	1	0
rxn01800	1	1	1	1	1	1	1	1	0
rxn00817	1	1	1	1	1	1	1	1	0
rxn00686	1	0	1	0	1	1	1	1	0
rxn01652	1	1	1	0	1	0	0	1	0
rxn00460	0	1	0	0	0	0	0	1	0
rxn00671	1	0	1	0	1	1	1	1	0
rxn03524	0	1	0	0	0	0	0	1	0
rxn06440	1	1	1	0	1	1	1	1	0
rxn02160	1	0	1	0	0	1	1	1	0
EX_cpd00305	2	2	2	2	2	2	2	2	0
rxn06865	1	1	1	1	1	1	1	1	1
rxn01116	1	1	1	1	1	1	1	1	0
rxn08296	0	1	0	0	1	1	1	1	0
rxn04633	0	0	0	0	0	0	0	0	1
rxn12822	0	0	0	0	0	0	1	1	0
rxn07262	1	0	1	0	0	1	1	1	1
rxn14118	1	0	1	0	0	0	0	1	0
rxn00714	0	0	0	0	0	1	1	1	0
rxn02545	0	1	0	0	0	0	0	1	0
rxn02484	1	0	1	0	0	0	0	1	0
rxn01021	1	1	1	0	1	1	1	1	0
rxn04666	0	0	0	0	0	0	0	0	1
rxn09448	0	0	0	0	0	1	1	1	0
rxn04895	1	1	1	0	1	1	1	1	1
rxn06906	0	0	0	0	0	0	1	1	0
rxn25641	0	1	0	0	0	1	1	1	0
EX_cpd00226	0	0	0	0	0	2	2	2	0
rxn03287	0	0	0	0	0	0	0	1	0
rxn03130	1	1	1	1	1	1	1	1	1
rxn08087	0	1	0	0	1	1	1	1	0
rxn11890	0	0	0	0	0	0	0	0	1
rxn05319	1	1	1	1	1	1	1	1	0
rxn04274	1	1	1	0	0	1	1	1	1
rxn10222	0	1	0	0	1	0	1	1	0
rxn03062	1	1	1	1	1	1	1	1	0
rxn09012	0	0	0	0	0	0	0	1	0
rxn03748	0	0	0	0	0	0	0	0	1
rxn08667	0	0	0	0	0	0	0	1	0
EX_cpd00012	0	0	0	0	0	2	2	2	0
rxn11838	1	1	1	0	1	1	1	1	1
rxn04699	0	0	0	0	0	0	0	0	1
rxn03173	1	1	1	0	1	1	1	1	1
rxn03445	1	1	1	1	1	1	1	1	0
rxn01043	1	0	1	0	0	1	1	1	0
rxn01455	0	0	0	0	0	0	0	1	0
rxn02727	0	1	0	0	0	0	0	1	0
rxn07727	0	1	0	0	0	0	0	1	0
rxn05856	0	0	0	0	0	0	1	1	0
rxn09112	0	1	0	0	1	0	1	1	0
rxn01479	0	0	0	0	0	0	0	1	0
rxn07434	1	1	1	1	1	1	1	1	1
rxn03042	1	1	1	0	1	1	1	1	0
rxn00390	0	1	0	0	0	1	1	1	0
rxn02990	0	1	0	0	0	0	0	1	0
rxn01439	1	1	1	0	1	1	1	1	0
rxn11732	0	1	0	0	0	0	0	1	0
rxn01445	1	1	1	0	1	1	1	1	0
rxn15694	1	1	1	0	1	0	0	1	0
rxn02996	0	1	0	0	0	0	0	1	0
rxn01281	0	1	0	0	1	0	1	1	0
rxn01418	1	1	1	0	1	0	0	1	1
rxn08943	0	0	0	0	0	0	0	1	0
rxn06669	0	0	0	0	0	0	0	1	0
rxn00211	1	1	1	1	1	1	1	1	0
rxn00132	1	1	1	0	1	1	1	1	0
rxn00977	1	1	1	0	1	0	0	1	0
rxn00022	0	0	0	0	0	0	1	1	0
rxn01993	1	1	1	0	1	1	1	1	0
rxn00369	1	1	1	1	1	1	1	1	0
rxn07684	0	0	0	0	0	0	0	1	0
rxn09978	0	1	0	0	0	1	1	1	0
rxn00616	1	0	1	0	1	1	1	1	0
rxn12095	0	0	0	0	0	0	0	0	1
rxn07602	1	1	1	1	1	1	1	1	0
rxn05299	1	1	1	1	1	1	1	1	0
rxn09069	0	1	0	0	0	1	1	1	0
rxn10124	0	0	0	0	0	1	1	1	0
rxn05733	1	1	1	1	1	1	1	1	0
rxn00898	1	1	1	1	1	1	1	1	1
rxn03807	0	0	0	0	0	0	0	0	1
rxn00463	1	1	1	0	1	0	0	1	0
rxn01670	1	1	1	0	1	1	1	1	0
rxn07680	0	0	0	0	0	0	0	1	0
rxn02728	0	1	0	0	0	0	1	1	0
rxn01870	1	1	1	0	1	0	0	1	0
rxn03644	0	0	0	0	0	0	0	1	0
rxn03433	0	0	0	0	0	0	1	1	0
rxn04095	1	0	1	0	0	1	1	1	0
rxn03921	0	0	0	0	0	0	0	1	0
rxn00122	1	0	1	0	0	1	1	1	0
rxn02186	1	1	1	1	1	1	1	1	1
rxn07665	0	0	0	0	0	0	0	0	1
rxn09177	1	0	1	0	0	1	1	1	0
rxn04014	0	1	0	0	0	0	0	1	0
EX_cpd00027	2	2	2	2	2	2	2	2	0
rxn05335	1	1	1	1	1	1	1	1	0
rxn10363	0	1	0	0	0	0	0	1	0
rxn09452	0	1	0	0	0	0	0	1	0
rxn13687	0	1	0	0	0	1	1	1	0
rxn03741	0	1	0	0	0	0	0	1	1
rxn02085	1	1	1	1	1	1	1	1	0
rxn03864	0	0	0	0	0	0	0	0	1
EX_cpd00066	2	2	2	2	2	2	2	2	0
rxn02933	1	0	1	0	1	1	1	1	0
rxn07523	0	0	0	0	0	0	0	0	1
rxn03704	1	1	1	1	1	1	1	1	0
rxn00889	0	1	0	0	0	0	0	1	0
rxn04290	0	0	0	0	0	0	0	0	1
rxn00980	1	1	1	1	1	1	1	1	0
rxn03907	1	1	1	1	1	1	1	1	0
rxn00804	1	1	1	1	1	1	1	1	0
rxn14273	0	0	0	0	0	0	0	0	1
rxn01851	0	0	0	0	0	1	1	1	0
rxn00316	0	0	0	0	0	0	0	0	1
rxn21729	0	1	0	0	0	1	1	1	0
rxn08815	0	1	0	0	1	1	1	1	0
rxn03393	1	0	1	0	1	1	1	1	0
rxn00836	0	0	0	0	0	1	1	1	0
rxn04841	1	0	1	0	1	1	1	1	0
rxn08898	0	0	0	0	0	1	1	1	0
rxn00633	0	1	0	0	1	1	1	1	0
rxn05050	0	1	0	0	0	0	0	1	0
rxn07480	0	0	0	0	0	0	0	0	1
rxn10256	0	1	0	0	1	1	1	1	0
rxn05982	0	1	0	0	0	0	0	1	1
rxn05034	0	1	0	0	1	0	0	1	0
rxn07980	0	0	0	0	0	0	0	1	0
rxn22481	0	1	0	0	0	1	1	1	0
rxn04559	0	1	0	0	0	1	1	1	1
rxn12028	0	1	0	0	0	1	1	1	1
rxn00289	1	1	1	1	1	1	1	1	0
rxn01268	1	0	1	0	0	1	1	1	0
rxn06437	1	1	1	0	1	1	1	1	0
rxn00213	1	1	1	1	1	1	1	1	0
rxn13986	0	0	0	0	0	0	0	0	1
rxn14237	0	0	0	0	0	0	0	0	1
rxn05579	0	0	0	0	0	1	1	1	0
rxn05573	0	0	0	0	0	1	1	1	0
rxn07454	0	0	0	0	0	0	0	1	0
rxn01242	1	1	1	0	1	0	0	1	0
rxn06510	1	1	1	1	1	1	1	1	0
rxn01122	1	1	1	0	1	1	1	1	0
rxn01600	0	0	0	0	0	0	0	1	0
rxn03140	1	1	1	0	1	0	0	1	0
rxn07312	0	0	0	0	0	0	0	1	0
rxn05394	0	0	0	0	0	0	0	1	0
rxn05202	0	0	0	0	0	1	1	1	0
rxn20934	0	1	0	0	0	1	1	1	0
rxn15947	0	1	0	0	0	0	1	1	0
rxn01049	0	0	0	0	0	1	1	1	0
rxn02362	0	0	0	0	0	0	0	1	0
rxn08549	0	1	0	0	1	1	1	1	0
rxn10161	0	0	0	0	0	1	1	1	0
rxn01068	1	1	1	1	1	1	1	1	0
rxn02246	0	1	0	0	0	0	0	1	0
rxn00985	1	1	1	1	1	1	1	1	0
rxn00679	1	1	1	1	1	1	1	1	0
rxn00104	0	1	0	0	0	1	1	1	0
rxn05256	0	0	0	0	0	0	0	1	0
rxn06077	1	1	1	1	1	1	1	1	0
rxn11931	0	1	0	0	0	0	0	1	0
rxn15280	1	1	1	0	1	1	1	1	0
rxn00912	1	1	1	1	1	1	1	1	0
rxn05055	0	1	0	0	0	1	1	1	0
rxn00831	1	1	1	0	1	1	1	1	0
rxn14161	0	0	0	0	0	0	0	0	1
rxn01982	0	1	0	0	0	0	0	1	1
rxn17275	0	1	0	0	0	0	0	1	0
rxn04896	1	1	1	0	1	1	1	1	1
rxn04700	0	0	0	0	0	0	0	0	1
rxn00867	1	1	1	1	1	1	1	1	0
EX_cpd00132	2	2	2	2	2	2	2	2	0
rxn00313	1	1	1	1	1	1	1	1	0
rxn05301	1	1	1	1	1	1	1	1	0
rxn03236	1	1	1	1	1	1	1	1	0
rxn14146	0	1	0	0	0	1	1	1	0
rxn01924	0	0	0	0	0	1	1	1	0
rxn02529	0	0	0	0	0	1	1	1	1
rxn08129	0	1	0	0	1	0	1	1	0
rxn04308	1	1	1	0	1	0	0	1	0
rxn02303	1	1	1	1	1	1	1	1	0
rxn00646	1	1	1	1	1	1	1	1	0
rxn11962	1	1	1	1	1	1	1	1	1
rxn06641	0	1	0	0	0	0	0	1	0
rxn08133	0	1	0	0	0	0	0	1	0
rxn03239	1	0	1	0	0	1	1	1	0
rxn07448	0	0	0	0	0	0	1	1	0
rxn07667	0	0	0	0	0	0	0	0	1
EX_cpd00067	2	2	2	2	2	2	2	2	0
rxn00515	1	1	1	1	1	1	1	1	0
rxn06526	0	1	0	0	1	1	1	1	0
rxn04840	1	0	1	0	1	1	1	1	0
rxn00147	1	1	1	1	1	1	1	1	0
rxn07352	0	0	0	0	0	0	0	0	1
rxn01018	1	1	1	1	1	1	1	1	0
rxn00869	1	1	1	0	1	1	1	1	0
rxn02380	1	1	1	1	1	1	1	1	0
rxn01137	1	1	1	1	1	1	1	1	0
rxn00905	0	1	0	0	0	0	0	1	0
EX_cpd00100	0	0	0	0	0	2	2	2	0
rxn04356	0	0	0	0	0	0	0	0	1
rxn15491	1	1	1	0	1	0	0	1	0
rxn03762	0	0	0	0	0	0	0	1	0
rxn00011	1	1	1	1	1	1	1	1	1
rxn05871	1	1	1	0	1	1	1	1	1
rxn00540	1	1	1	1	1	1	1	1	0
rxn20643	1	1	1	0	1	1	1	1	0
rxn04456	1	0	1	0	0	1	1	1	1
rxn03878	0	0	0	0	0	0	0	0	1
rxn01983	0	1	0	0	0	0	0	1	1
rxn19848	0	1	0	0	0	0	0	1	0
rxn06690	0	0	0	0	0	0	0	1	0
rxn04043	0	0	0	0	0	0	0	1	0
rxn01858	1	1	1	1	1	1	1	1	0
rxn01669	1	1	1	0	1	1	1	1	0
rxn04278	0	0	0	0	0	0	0	1	1
rxn10203	0	1	0	0	1	1	1	1	0
rxn01153	1	1	1	0	1	0	0	1	1
rxn07719	0	0	0	0	0	0	0	0	1
rxn00790	1	1	1	1	1	1	1	1	0
rxn03971	0	0	0	0	0	0	0	1	0
rxn00355	0	0	0	0	0	0	0	1	0
rxn00055	0	0	0	0	0	0	0	1	0
rxn14285	0	0	0	0	0	0	0	0	1
rxn15108	1	1	1	0	1	0	0	1	0
rxn05406	0	0	0	0	0	0	0	1	0
rxn09210	0	0	0	0	0	0	1	1	0
rxn03080	1	1	1	1	1	1	1	1	0
rxn08798	0	1	0	0	1	1	1	1	0
rxn26127	0	1	0	0	0	0	0	1	0
rxn06735	0	0	0	0	0	0	0	1	0
rxn02056	1	1	1	0	0	1	1	1	0
rxn14173	1	0	1	0	0	1	1	1	1
rxn08015	0	0	0	0	0	1	1	1	0
rxn00140	1	1	1	1	1	1	1	1	0
rxn15091	1	1	1	0	1	0	0	1	0
rxn12643	0	0	0	0	0	0	1	1	0
rxn09295	0	1	0	0	1	0	0	1	0
rxn04677	0	0	0	0	0	0	0	1	0
rxn03159	1	1	1	1	1	1	1	1	1
rxn03108	1	0	1	0	0	0	0	1	0
rxn03246	1	0	1	0	0	1	1	1	0
rxn07053	0	0	0	0	0	0	0	1	0
rxn10199	0	0	0	0	0	1	1	1	0
rxn01545	0	1	0	0	1	1	1	1	0
rxn06200	0	1	0	0	0	1	1	1	1
rxn00182	1	1	1	1	1	1	1	1	0
rxn00436	1	0	1	0	0	1	1	1	0
rxn00691	1	1	1	1	1	1	1	1	0
rxn03938	0	0	0	0	0	0	0	0	1
rxn01610	0	0	0	0	0	1	1	1	0
rxn04378	0	0	0	0	0	0	0	0	1
EX_cpd00393	2	2	2	2	2	2	2	2	0
rxn07290	0	0	0	0	0	0	0	0	1
rxn19270	0	1	0	0	0	0	0	1	0
rxn00416	1	1	1	1	1	1	1	1	0
rxn03456	0	0	0	0	0	0	1	1	0
rxn05297	1	1	1	1	1	1	1	1	0
rxn00406	0	0	0	0	0	0	0	0	1
rxn00539	0	0	0	0	0	0	0	1	0
rxn01516	1	1	1	0	1	0	0	1	0
rxn00062	1	1	1	0	1	1	1	1	0
rxn08843	0	1	0	0	1	1	1	1	0
rxn07879	1	1	1	0	1	1	1	1	1
rxn05618	0	0	0	0	0	1	1	1	0
rxn06444	1	1	1	0	1	1	1	1	0
rxn00802	1	1	1	1	1	1	1	1	1
rxn03394	1	0	1	0	0	1	1	1	1
rxn03484	0	0	0	0	0	0	0	0	1
rxn00179	1	1	1	1	1	1	1	1	0
rxn00991	1	0	1	0	1	0	1	1	0
rxn04298	0	0	0	0	0	0	0	0	1
rxn05814	0	0	0	0	0	0	0	1	0
rxn08398	0	1	0	0	0	0	0	1	0
rxn14011	0	1	0	0	0	0	0	1	0
EX_cpd03726	2	2	2	2	2	2	2	2	0
rxn00715	1	1	1	1	1	1	1	1	0
rxn02642	0	0	0	0	0	0	0	1	0
rxn02717	0	0	0	0	0	0	0	0	1
rxn01855	0	0	0	0	0	1	1	1	0
rxn02209	0	1	0	0	1	1	1	1	0
rxn03102	0	1	0	0	0	0	0	1	1
rxn00927	0	1	0	0	1	1	1	1	0
rxn06614	0	1	0	0	0	1	1	1	1
rxn03240	1	1	1	0	0	1	1	1	0
rxn01519	1	0	1	0	0	0	0	1	0
rxn01348	0	1	0	0	0	0	0	1	0
rxn05322	1	1	1	0	1	1	1	1	0
rxn03557	0	0	0	0	0	0	0	0	1
rxn06947	0	1	0	0	0	1	1	1	1
rxn15511	1	1	1	0	1	0	0	1	0
rxn39999	0	1	0	0	0	1	1	1	0
rxn02473	1	0	1	0	0	1	1	1	0
rxn03194	1	1	1	1	1	1	1	1	1
rxn05012	0	0	0	0	0	0	0	1	0
rxn00623	1	1	1	1	1	1	1	1	0
rxn04722	0	0	0	0	0	0	0	0	1
rxn11935	0	1	0	0	0	0	0	1	0
rxn00872	1	0	1	0	1	1	1	1	0
rxn09208	0	0	0	0	0	0	1	1	0
rxn05239	1	1	1	1	1	1	1	1	0
rxn06935	0	0	0	0	0	0	1	1	0
rxn05313	0	0	0	0	0	1	1	1	0
rxn00259	0	0	0	0	0	0	0	1	0
rxn01329	1	0	1	0	1	1	1	1	0
rxn07872	1	0	1	0	0	0	0	1	1
rxn09105	0	1	0	0	1	0	1	1	0
rxn10052	0	0	0	0	0	0	0	1	0
rxn05962	0	1	0	0	0	0	0	1	1
rxn05330	1	1	1	1	1	1	1	1	0
rxn06076	1	1	1	1	1	1	1	1	0
rxn12644	0	0	0	0	0	0	1	1	0
rxn02936	0	1	0	0	0	0	0	1	0
rxn00776	0	0	0	0	0	0	1	1	0
rxn03435	1	1	1	1	1	1	1	1	1
rxn04785	0	0	0	0	0	0	1	1	0
rxn00297	0	0	0	0	0	1	1	1	0
rxn09944	1	0	1	0	0	0	0	1	0
rxn04993	0	0	0	0	0	0	0	0	1
rxn11894	0	0	0	0	0	0	0	0	1
rxn00517	0	1	0	0	0	0	0	1	0
rxn09103	0	1	0	0	1	0	1	1	0
rxn12510	1	1	1	1	1	1	1	1	0
rxn00700	0	0	0	0	0	0	0	1	0
rxn00001	0	1	0	0	1	1	1	1	0
rxn09360	0	0	0	0	0	0	1	1	0
rxn01128	1	1	1	0	1	0	0	1	0
rxn01370	1	1	1	0	1	0	0	1	0
rxn02155	1	1	1	1	1	1	1	1	0
rxn25747	0	1	0	0	0	0	0	1	0
rxn00338	1	1	1	1	1	1	1	1	0
rxn04338	0	0	0	0	0	0	0	0	1
rxn07668	0	0	0	0	0	0	0	0	1
rxn05425	0	0	0	0	0	0	0	1	0
rxn03872	0	0	0	0	0	0	0	1	1
rxn02720	1	0	1	0	0	1	1	1	0
rxn11761	1	1	1	0	1	0	0	1	1
rxn01345	0	1	0	0	0	0	0	1	0
rxn06390	0	0	0	0	0	0	0	0	1
rxn01117	1	1	1	1	1	1	1	1	0
rxn08128	0	1	0	0	1	0	1	1	0
rxn00974	1	1	1	1	1	1	1	1	0
rxn02409	1	1	1	1	1	1	1	1	1
rxn19764	0	1	0	0	0	0	0	1	0
rxn00175	1	1	1	1	1	1	1	1	0
rxn10234	0	1	0	0	1	0	1	1	0
rxn01424	0	1	0	0	0	0	0	1	0
rxn08820	0	1	0	0	1	1	1	1	0
rxn03638	1	0	1	0	0	1	1	1	0
rxn01225	1	1	1	1	1	1	1	1	0
rxn02404	1	1	1	1	1	1	1	1	0
rxn04938	0	1	0	0	1	0	0	1	0
rxn05383	0	0	0	0	0	0	0	1	0
rxn02689	0	0	0	0	0	0	0	0	1
rxn02737	0	0	0	0	0	1	1	1	0
rxn06647	0	1	0	0	0	1	1	1	1
rxn00097	1	1	1	1	1	1	1	1	0
rxn08386	0	1	0	0	0	0	0	1	0
rxn03141	1	1	1	1	1	1	1	1	1
rxn07693	0	0	0	0	0	0	0	0	1
rxn08213	0	0	0	0	0	1	1	1	0
rxn00208	1	1	1	1	1	1	1	1	0
rxn05682	0	0	0	0	0	1	1	1	0
rxn00139	1	1	1	1	1	1	1	1	0
rxn02015	0	0	0	0	0	0	1	1	0
rxn02264	1	0	1	0	1	1	1	1	0
rxn04732	0	0	0	0	0	0	0	0	1
rxn07260	0	0	0	0	0	0	0	0	1
rxn05872	0	1	0	0	1	1	1	1	0
rxn01641	0	0	0	0	0	0	1	1	0
rxn04350	0	0	0	0	0	0	0	0	1
rxn00558	1	1	1	1	1	1	1	1	0
rxn05484	0	0	0	0	0	1	1	1	0
rxn01285	0	0	0	0	0	0	1	1	0
rxn03323	0	0	0	0	0	0	0	1	0
EX_cpd00654	0	0	0	0	0	2	2	2	0
rxn27397	0	1	0	0	0	0	0	1	0
rxn00420	1	0	1	0	1	1	1	1	0
rxn05326	1	1	1	0	1	1	1	1	0
rxn08309	0	1	0	0	1	0	1	1	0
rxn25636	0	1	0	0	0	1	1	1	0
