Reactions	DRAM	Prokka	RASTtk	Intersection	2+ Annotations	Priority List	Majority Rule	Union	Bayesian Pangenome Core
rxn42230	0	1	0	0	0	0	0	1	0
rxn06112	1	1	1	0	1	1	1	1	1
rxn01648	1	0	1	0	0	0	0	1	0
rxn03091	0	0	0	0	0	1	1	1	0
rxn01219	1	1	1	1	1	1	1	1	0
rxn01446	0	1	0	0	0	0	0	1	0
rxn15338	1	0	1	0	0	0	0	1	0
rxn01739	1	1	1	1	1	1	1	1	0
rxn03373	1	1	1	0	1	0	1	1	1
rxn05369	0	0	0	0	0	0	0	1	0
rxn02192	1	0	1	0	0	1	1	1	1
rxn00295	0	1	0	0	1	1	1	1	0
rxn10212	0	1	0	0	1	1	1	1	0
rxn14245	0	1	0	0	0	0	0	1	0
rxn01510	1	1	1	0	1	0	0	1	0
rxn03863	0	0	0	0	0	0	0	0	1
rxn01304	1	1	1	1	1	1	1	1	0
rxn08812	0	1	0	0	1	1	1	1	0
rxn05683	0	0	0	0	0	1	1	1	0
rxn02175	1	1	1	1	1	1	1	1	0
rxn00206	0	1	0	0	1	1	1	1	0
rxn05249	0	1	0	0	1	1	1	1	0
rxn09991	1	0	1	0	0	0	0	1	0
rxn00758	1	1	1	1	1	1	1	1	0
rxn05035	1	0	1	0	0	0	0	1	1
rxn03269	0	1	0	0	1	0	0	1	0
rxn05324	1	1	1	0	1	1	1	1	0
rxn04862	0	0	0	0	0	0	0	0	1
rxn03512	0	0	0	0	0	0	0	1	0
rxn02914	1	1	1	1	1	1	1	1	0
rxn04357	0	0	0	0	0	0	0	0	1
rxn03277	0	0	0	0	0	0	0	0	1
rxn12633	0	0	0	0	0	0	1	1	0
rxn03422	1	1	1	1	1	1	1	1	0
rxn00359	0	1	0	0	0	1	1	1	0
b	0	0	0	0	0	0	0	0	0
rxn07525	0	0	0	0	0	0	0	0	1
rxn00060	1	1	1	1	1	1	1	1	0
rxn01296	0	0	0	0	0	0	0	1	0
rxn08813	0	1	0	0	1	1	1	1	0
rxn14123	1	1	1	0	1	1	1	1	1
rxn01161	0	0	0	0	0	0	1	1	0
rxn00407	1	1	1	1	1	1	1	1	0
rxn10267	0	1	0	0	1	0	1	1	0
rxn07099	1	1	1	0	1	1	1	1	0
rxn01107	0	0	0	0	0	1	1	1	0
rxn16574	1	0	1	0	0	1	1	1	0
rxn05148	1	1	1	1	1	1	1	1	0
rxn08971	0	0	0	0	0	0	1	1	0
rxn05398	0	0	0	0	0	0	0	1	0
rxn03407	0	0	0	0	0	0	0	1	0
rxn03848	0	0	0	0	0	0	1	1	0
rxn01138	1	1	1	0	1	1	1	1	0
rxn01214	0	0	0	0	0	0	0	1	0
rxn02228	0	0	0	0	0	1	1	1	0
rxn15081	1	1	1	0	1	0	0	1	0
rxn00117	1	1	1	1	1	1	1	1	0
rxn04723	0	0	0	0	0	0	0	1	0
EX_cpd00215	2	2	2	2	2	2	2	2	0
rxn05505	0	0	0	0	0	1	1	1	0
rxn07288	0	0	0	0	0	0	0	0	1
rxn07357	0	0	0	0	0	0	0	0	1
rxn10270	0	1	0	0	1	0	1	1	0
rxn02177	0	0	0	0	0	1	1	1	0
rxn04426	0	0	0	0	0	0	0	0	1
rxn08311	0	1	0	0	1	0	1	1	0
rxn02875	1	1	1	0	1	1	1	1	0
rxn00851	1	1	1	1	1	1	1	1	0
rxn07289	0	0	0	0	0	0	0	0	1
rxn00920	0	0	0	0	0	0	0	1	0
rxn03389	0	0	0	0	0	0	0	0	1
rxn09672	1	1	1	1	1	1	1	1	0
rxn00321	0	0	0	0	0	1	1	1	0
EX_cpd00060	2	2	2	2	2	2	2	2	0
rxn05459	0	0	0	0	0	0	0	1	0
rxn02450	0	1	0	0	0	0	0	1	1
rxn00902	1	1	1	1	1	1	1	1	0
rxn00363	1	1	1	0	1	1	1	1	0
EX_cpd00214	0	0	0	0	0	2	2	2	0
rxn47974	0	1	0	0	0	0	0	1	0
rxn08126	0	1	0	0	1	0	1	1	0
rxn11720	0	0	0	0	0	0	0	1	1
rxn04954	1	1	1	1	1	1	1	1	0
rxn06438	1	1	1	0	1	1	1	1	0
rxn11745	0	0	0	0	0	0	0	0	1
rxn00783	0	0	0	0	0	0	0	1	0
rxn02358	1	1	1	0	1	0	0	1	0
rxn02466	0	0	0	0	0	0	0	1	0
rxn15090	1	1	1	0	1	0	0	1	0
rxn00299	1	1	1	1	1	1	1	1	0
rxn05251	0	1	0	0	1	1	1	1	0
rxn08802	0	1	0	0	1	1	1	1	0
rxn12224	0	0	0	0	0	0	1	1	0
rxn06250	0	0	0	0	0	0	0	1	0
rxn00134	0	0	0	0	0	0	0	1	0
rxn06817	1	1	1	0	1	1	1	1	1
rxn10059	0	1	0	0	0	0	0	1	0
rxn01416	1	1	1	1	1	1	1	1	0
rxn00712	1	1	1	0	1	0	0	1	0
rxn20508	0	1	0	0	0	0	0	1	0
rxn11526	0	0	0	0	0	0	0	0	1
rxn15114	1	1	1	0	1	0	0	1	0
rxn12707	0	1	0	0	0	0	0	1	0
rxn00048	1	1	1	1	1	1	1	1	1
rxn09211	0	0	0	0	0	0	1	1	0
rxn00262	1	1	1	1	1	1	1	1	0
rxn10995	0	1	0	0	0	1	1	1	0
rxn01216	0	0	0	0	0	0	0	1	0
rxn03903	1	1	1	1	1	1	1	1	0
rxn05303	1	1	1	1	1	1	1	1	0
rxn00291	1	1	1	1	1	1	1	1	0
rxn14259	0	0	0	0	0	0	0	0	1
rxn12637	0	0	0	0	0	0	1	1	0
rxn00258	0	1	0	0	0	0	0	1	0
rxn14003	1	1	1	1	1	1	1	1	0
rxn10295	0	0	0	0	0	1	1	1	0
EX_cpd00054	2	2	2	2	2	2	2	2	0
rxn13999	0	0	0	0	0	0	0	0	1
EX_cpd00023	2	2	2	2	2	2	2	2	0
rxn08295	0	1	0	0	1	1	1	1	0
rxn08020	0	0	0	0	0	1	1	1	0
rxn05040	1	0	1	0	0	1	1	1	0
rxn01156	1	1	1	0	1	0	0	1	1
rxn10404	0	1	0	0	0	0	0	1	0
rxn02353	0	0	0	0	0	1	1	1	0
rxn16141	0	1	0	0	0	1	1	1	0
rxn07741	0	0	0	0	0	0	0	0	1
rxn01977	1	1	1	1	1	1	1	1	0
rxn02339	0	0	0	0	0	0	1	1	0
rxn05402	0	0	0	0	0	0	0	1	0
rxn02107	0	0	0	0	0	0	0	1	0
EX_cpd00065	2	2	2	2	2	2	2	2	0
rxn08924	1	1	1	1	1	1	1	1	0
rxn14120	1	0	1	0	0	0	0	1	1
rxn23043	0	1	0	0	0	0	0	1	0
rxn00138	1	1	1	1	1	1	1	1	0
rxn11585	0	0	0	0	0	0	1	1	0
rxn06968	0	1	0	0	0	0	1	1	0
rxn03288	0	1	0	0	0	0	0	1	0
rxn07674	0	0	0	0	0	0	0	0	1
rxn08894	0	1	0	0	0	1	1	1	0
rxn11749	1	1	1	0	1	0	0	1	1
rxn07777	0	0	0	0	0	0	0	0	1
rxn03167	1	1	1	1	1	1	1	1	0
rxn01256	1	0	1	0	0	1	1	1	0
rxn01964	1	1	1	1	1	1	1	1	0
rxn01106	1	1	1	1	1	1	1	1	0
rxn00669	0	0	0	0	0	0	0	1	0
rxn01133	0	1	0	0	1	1	1	1	0
rxn04727	0	0	0	0	0	0	0	1	0
rxn20631	0	1	0	0	0	0	0	1	0
rxn03990	0	1	0	0	0	1	1	1	0
rxn03578	0	0	0	0	0	0	0	0	1
rxn06182	0	1	0	0	0	1	1	1	1
rxn07287	0	0	0	0	0	0	0	0	1
rxn06488	0	0	0	0	0	1	1	1	0
rxn10021	0	1	0	0	0	0	0	1	0
rxn07992	0	1	0	0	0	1	1	1	0
rxn02795	0	0	0	0	0	0	1	1	0
rxn01956	0	0	0	0	0	0	0	1	0
rxn03746	0	0	0	0	0	0	0	0	1
rxn07056	0	1	0	0	0	1	1	1	1
rxn04725	0	0	0	0	0	0	0	0	1
EX_cpd15302	0	2	0	0	2	0	2	2	0
rxn10091	0	1	0	0	0	0	0	1	0
rxn04560	0	0	0	0	0	0	0	0	1
rxn01169	1	1	1	1	1	1	1	1	0
rxn10236	0	1	0	0	1	0	1	1	0
rxn02286	1	1	1	0	1	1	1	1	0
rxn10192	0	0	0	0	0	1	1	1	0
rxn02045	0	0	0	0	0	0	0	1	0
rxn00409	1	1	1	1	1	1	1	1	0
EX_cpd00017	2	2	2	2	2	2	2	2	0
rxn04736	1	1	1	0	1	1	1	1	1
rxn03485	0	0	0	0	0	0	0	1	0
rxn08796	0	1	0	0	1	1	1	1	0
rxn01331	1	1	1	1	1	1	1	1	0
rxn07285	0	0	0	0	0	0	0	0	1
rxn07882	1	1	1	0	0	1	1	1	1
rxn01215	0	0	0	0	0	0	0	1	0
rxn01241	1	1	1	1	1	1	1	1	0
rxn03146	1	1	1	1	1	1	1	1	0
rxn01985	0	1	0	0	0	0	0	1	0
rxn01008	1	0	1	0	0	1	1	1	0
rxn08801	0	1	0	0	1	1	1	1	0
rxn00302	1	1	1	1	1	1	1	1	1
rxn02230	0	1	0	0	0	0	0	1	0
rxn04000	0	0	0	0	0	0	0	1	0
rxn25718	0	1	0	0	0	1	1	1	0
rxn02313	0	0	0	0	0	0	0	0	1
rxn10220	0	1	0	0	1	0	1	1	0
rxn04735	0	0	0	0	0	0	0	0	1
rxn21860	0	1	0	0	0	0	0	1	0
rxn03148	0	0	0	0	0	0	0	0	1
rxn02233	0	0	0	0	0	0	0	0	1
rxn01643	1	1	1	1	1	1	1	1	0
rxn03654	1	0	1	0	0	0	0	1	0
rxn02548	0	0	0	0	0	1	1	1	0
rxn11653	0	0	0	0	0	0	0	0	1
rxn01544	0	0	0	0	0	1	1	1	0
rxn05350	1	1	1	1	1	1	1	1	0
rxn16829	1	0	1	0	0	1	1	1	0
rxn02949	1	1	1	0	0	1	1	1	0
rxn00412	1	1	1	1	1	1	1	1	0
rxn00926	1	1	1	1	1	1	1	1	0
rxn02540	1	1	1	0	1	1	1	1	0
rxn12847	0	1	0	0	1	1	1	1	0
rxn00459	1	1	1	1	1	1	1	1	0
rxn00239	1	1	1	1	1	1	1	1	0
rxn00855	1	0	1	0	0	1	1	1	0
rxn10296	0	0	0	0	0	1	1	1	0
rxn05300	1	1	1	1	1	1	1	1	0
rxn03991	0	1	0	0	0	1	1	1	0
rxn06672	1	1	1	1	1	1	1	1	0
rxn01457	1	1	1	1	1	1	1	1	0
rxn06671	0	0	0	0	0	0	0	0	1
EX_cpd00048	0	0	0	0	0	2	2	2	0
rxn06750	0	0	0	0	0	0	0	1	0
rxn33959	0	1	0	0	0	0	0	1	0
rxn08808	0	1	0	0	1	1	1	1	0
rxn10262	0	1	0	0	1	0	1	1	0
rxn00300	1	0	1	0	0	1	1	1	0
rxn14156	1	0	1	0	0	0	0	1	1
rxn25279	0	1	0	0	0	1	1	1	0
rxn00405	1	1	1	0	1	1	1	1	0
rxn10237	0	1	0	0	1	0	1	1	0
rxn06037	0	0	0	0	0	0	0	1	0
rxn03031	1	1	1	1	1	1	1	1	0
rxn03517	1	1	1	0	1	1	1	1	0
rxn04916	1	1	1	0	1	1	1	1	1
rxn05652	1	1	1	1	1	1	1	1	0
rxn14333	0	1	0	0	0	0	0	1	0
rxn00502	1	0	1	0	0	1	1	1	1
rxn03388	0	0	0	0	0	0	0	0	1
rxn00278	1	1	1	1	1	1	1	1	0
rxn10110	0	1	0	0	0	0	0	1	0
rxn03245	1	1	1	0	1	1	1	1	0
rxn00248	1	1	1	1	1	1	1	1	0
rxn14059	1	0	1	0	0	0	0	1	1
rxn04113	1	0	1	0	1	1	1	1	1
rxn01127	1	1	1	1	1	1	1	1	0
rxn14335	0	0	0	0	0	0	0	0	1
rxn01662	0	0	0	0	0	0	1	1	0
rxn07439	1	1	1	0	1	0	0	1	0
rxn08521	1	0	1	0	1	1	1	1	0
rxn04809	1	1	1	0	1	1	1	1	1
rxn00474	1	1	1	1	1	1	1	1	0
rxn00438	1	1	1	1	1	1	1	1	0
rxn13975	1	0	1	0	0	0	0	1	1
rxn08556	0	0	0	0	0	0	0	1	0
rxn00612	1	1	1	1	1	1	1	1	0
rxn04068	0	0	0	0	0	0	1	1	0
rxn13688	0	1	0	0	0	1	1	1	0
rxn00210	0	0	0	0	0	0	0	1	0
rxn08607	0	1	0	0	0	0	0	1	0
rxn14246	0	0	0	0	0	0	0	1	0
rxn10255	0	1	0	0	1	1	1	1	0
rxn00992	1	1	1	1	1	1	1	1	0
rxn08137	0	0	0	0	0	0	0	1	0
rxn01706	1	1	1	0	1	0	0	1	0
rxn02596	1	1	1	1	1	1	1	1	0
rxn05344	1	1	1	1	1	1	1	1	0
rxn06347	0	1	0	0	0	1	1	1	0
rxn00307	1	1	1	0	1	0	0	1	0
rxn04269	0	0	0	0	0	0	0	0	1
rxn01997	1	1	1	1	1	1	1	1	0
rxn08766	1	1	1	0	1	1	1	1	0
rxn00883	1	1	1	1	1	1	1	1	0
rxn03860	0	0	0	0	0	0	0	1	0
rxn03248	1	1	1	1	1	1	1	1	0
rxn02317	0	1	0	0	0	0	0	1	0
rxn14167	0	1	0	0	0	0	1	1	0
rxn07575	0	0	0	0	0	0	0	0	1
rxn09562	0	0	0	0	0	0	0	1	0
rxn00840	1	1	1	1	1	1	1	1	1
rxn07675	0	0	0	0	0	0	0	0	1
rxn02315	0	1	0	0	0	0	0	1	0
rxn00881	1	1	1	1	1	1	1	1	0
rxn10216	0	1	0	0	1	1	1	1	0
rxn12154	0	1	0	0	0	0	0	1	0
rxn10432	0	1	0	0	0	0	0	1	0
EX_cpd00119	2	2	2	2	2	2	2	2	0
rxn04694	0	0	0	0	0	0	0	0	1
rxn00148	1	1	1	1	1	1	1	1	0
rxn07951	0	0	0	0	0	1	1	1	0
rxn01925	1	0	1	0	1	1	1	1	1
EX_cpd00039	2	2	2	2	2	2	2	2	0
rxn21009	0	1	0	0	0	1	1	1	0
rxn08849	0	1	0	0	1	1	1	1	0
rxn01123	1	1	1	0	1	1	1	1	0
rxn23713	0	1	0	0	0	0	0	1	0
rxn03925	0	0	0	0	0	0	0	0	1
rxn05333	1	0	1	0	1	0	0	1	0
rxn00500	1	1	1	1	1	1	1	1	0
rxn00649	1	1	1	1	1	1	1	1	0
rxn02465	1	1	1	1	1	1	1	1	0
rxn03607	1	1	1	1	1	1	1	1	0
rxn09207	0	0	0	0	0	0	1	1	0
rxn09678	1	1	1	1	1	1	1	1	0
rxn08394	0	1	0	0	0	0	0	1	0
rxn05937	0	1	0	0	0	1	1	1	0
rxn11710	0	1	0	0	0	0	0	1	0
rxn03005	1	1	1	1	1	1	1	1	1
rxn04873	1	1	1	0	1	1	1	1	1
rxn00808	1	1	1	1	1	1	1	1	0
rxn11960	1	0	1	0	0	0	0	1	0
rxn03610	1	1	1	1	1	1	1	1	0
rxn00909	0	1	0	0	0	0	0	1	0
rxn05347	1	1	1	1	1	1	1	1	0
rxn01247	0	1	0	0	0	0	1	1	0
rxn00506	0	0	0	0	0	1	1	1	0
rxn08892	0	1	0	0	0	1	1	1	0
rxn01354	1	1	1	1	1	1	1	1	1
rxn03908	1	1	1	1	1	1	1	1	0
rxn15296	1	1	1	0	1	0	0	1	0
rxn02497	0	0	0	0	0	0	1	1	0
rxn02882	0	1	0	0	0	0	1	1	1
rxn00188	0	1	0	0	0	0	1	1	0
rxn14262	0	0	0	0	0	0	0	0	1
rxn04337	0	0	0	0	0	0	0	0	1
rxn06098	0	0	0	0	0	0	0	1	0
rxn16623	0	1	0	0	0	1	1	1	0
rxn03951	1	1	1	1	1	1	1	1	0
rxn11537	0	0	0	0	0	0	0	0	1
rxn02518	1	0	1	0	0	0	0	1	0
rxn01975	1	1	1	1	1	1	1	1	0
rxn07881	0	0	0	0	0	0	0	0	1
rxn01022	0	0	0	0	0	0	0	0	1
rxn00411	0	1	0	0	0	0	0	1	0
rxn01101	1	1	1	1	1	1	1	1	0
rxn11774	1	1	1	0	1	1	1	1	1
rxn04139	1	0	1	0	1	1	1	1	1
rxn02229	1	1	1	0	1	1	1	1	1
rxn07662	0	0	0	0	0	0	0	0	1
rxn10235	0	1	0	0	1	0	1	1	0
rxn04352	0	0	0	0	0	0	0	0	1
rxn01171	1	1	1	1	1	1	1	1	1
rxn22483	0	1	0	0	0	1	1	1	0
EX_cpd00797	0	0	0	0	0	2	2	2	0
rxn00190	0	0	0	0	0	0	0	1	0
rxn01799	0	1	0	0	0	0	0	1	0
rxn00797	0	1	0	0	0	0	0	1	0
rxn03970	0	0	0	0	0	0	0	1	0
rxn02889	1	0	1	0	1	1	1	1	0
rxn07979	0	0	0	0	0	0	0	1	0
rxn02137	0	0	0	0	0	0	0	0	1
rxn09003	0	0	0	0	0	0	1	1	0
rxn05561	0	0	0	0	0	1	1	1	0
rxn00673	0	0	0	0	0	1	1	1	0
rxn00943	1	1	1	0	1	1	1	1	0
rxn16776	1	1	1	0	1	1	1	1	0
rxn00650	1	1	1	1	1	1	1	1	0
rxn01278	0	0	0	0	0	1	1	1	0
rxn07491	0	0	0	0	0	0	0	0	1
rxn08000	0	1	0	0	0	0	0	1	0
rxn07280	0	0	0	0	0	0	0	0	1
rxn03571	0	0	0	0	0	0	0	0	1
rxn00137	1	1	1	1	1	1	1	1	0
rxn07449	0	0	0	0	0	0	0	1	0
rxn03247	1	1	1	0	1	1	1	1	0
rxn00414	1	1	1	1	1	1	1	1	0
rxn11548	1	0	1	0	0	1	1	1	1
rxn05421	0	0	0	0	0	0	0	1	0
rxn10205	0	1	0	0	1	1	1	1	0
rxn02527	0	0	0	0	0	0	0	0	1
rxn14200	0	0	0	0	0	0	0	0	1
rxn03264	1	1	1	1	1	1	1	1	0
rxn01569	0	0	0	0	0	0	1	1	0
rxn01684	0	1	0	0	0	0	0	1	0
rxn06075	1	1	1	1	1	1	1	1	0
rxn02516	0	0	0	0	0	0	1	1	0
rxn02138	1	1	1	0	1	0	0	1	1
rxn12666	1	1	1	1	1	1	1	1	0
rxn16611	0	1	0	0	0	1	1	1	0
rxn01588	0	0	0	0	0	0	0	0	1
rxn00973	1	1	1	1	1	1	1	1	0
rxn04037	1	1	1	0	1	1	1	1	1
rxn12052	0	1	0	0	0	1	1	1	0
rxn01160	1	0	1	0	0	1	1	1	1
rxn09197	0	1	0	0	1	0	1	1	0
rxn03563	0	1	0	0	0	0	0	1	0
rxn00866	0	0	0	0	0	0	0	1	0
rxn04096	1	0	1	0	0	1	1	1	0
rxn26147	0	1	0	0	0	1	1	1	0
rxn09010	0	1	0	0	0	0	0	1	0
rxn01403	0	0	0	0	0	0	0	1	0
rxn01368	1	1	1	1	1	1	1	1	0
rxn03663	1	0	1	0	0	1	1	1	0
rxn11663	1	1	1	1	1	1	1	1	1
rxn00849	1	1	1	1	1	1	1	1	0
rxn08547	0	1	0	0	1	1	1	1	0
rxn08605	0	1	0	0	0	1	1	1	0
rxn01365	0	1	0	0	0	0	1	1	0
rxn08528	0	0	0	0	0	0	1	1	0
rxn03241	1	1	1	0	0	1	1	1	0
rxn08756	0	0	0	0	0	0	0	1	0
rxn02128	1	1	1	0	1	0	1	1	0
rxn05332	1	0	1	0	1	0	0	1	0
rxn00290	1	1	1	1	1	1	1	1	0
rxn02277	1	1	1	0	1	1	1	1	0
rxn05873	0	1	0	0	0	0	0	1	0
rxn04345	0	0	0	0	0	0	0	0	1
rxn08941	0	0	0	0	0	0	0	1	0
rxn02895	1	1	1	1	1	1	1	1	0
rxn00676	1	1	1	1	1	1	1	1	0
rxn07199	0	1	0	0	0	1	1	1	0
rxn03668	1	1	1	0	1	1	1	1	1
rxn01750	0	0	0	0	0	0	0	1	0
rxn02200	1	1	1	1	1	1	1	1	0
EX_cpd00971	0	2	0	0	0	2	2	2	0
rxn14103	0	0	0	0	0	0	0	0	1
rxn06434	1	1	1	0	1	1	1	1	0
rxn00392	1	0	1	0	0	1	1	1	0
rxn10293	0	0	0	0	0	1	1	1	0
rxn11649	0	0	0	0	0	0	0	0	1
rxn25750	0	1	0	0	0	0	0	1	0
rxn08823	0	1	0	0	1	1	1	1	0
rxn05340	1	1	1	0	1	1	1	1	0
rxn04872	1	1	1	0	1	1	1	1	1
rxn02749	1	0	1	0	0	0	0	1	1
rxn00993	1	0	1	0	0	1	1	1	0
rxn01200	1	1	1	1	1	1	1	1	1
rxn01100	1	1	1	1	1	1	1	1	0
rxn01023	0	0	0	0	0	0	0	1	0
rxn05736	0	1	0	0	1	1	1	1	0
rxn00569	0	1	0	0	1	0	0	1	0
rxn01653	1	0	1	0	1	1	1	1	0
rxn01647	0	1	0	0	0	0	0	1	0
rxn10268	0	1	0	0	1	0	1	1	0
rxn08803	0	1	0	0	1	1	1	1	0
rxn10207	0	1	0	0	1	1	1	1	0
rxn01408	0	0	0	0	0	0	0	1	0
rxn03690	1	0	1	0	0	0	0	1	0
rxn04347	0	0	0	0	0	0	0	0	1
rxn14359	0	1	0	0	0	0	1	1	0
rxn03976	1	0	1	0	0	0	0	1	0
rxn10405	0	1	0	0	0	0	0	1	0
rxn00653	0	0	0	0	0	1	1	1	0
rxn07949	0	0	0	0	0	1	1	1	0
rxn13984	0	0	0	0	0	0	0	0	1
rxn06412	0	1	0	0	0	0	1	1	0
rxn05596	0	0	0	0	0	1	1	1	0
rxn09240	0	0	0	0	0	0	0	1	0
rxn06298	0	1	0	0	0	1	1	1	1
rxn02834	1	0	1	0	1	0	0	1	0
rxn04749	0	0	0	0	0	0	0	0	1
rxn00786	1	1	1	1	1	1	1	1	0
rxn01747	1	0	1	0	0	1	1	1	1
rxn02475	1	0	1	0	0	1	1	1	0
rxn25518	0	1	0	0	0	0	1	1	0
rxn01504	1	0	1	0	1	1	1	1	0
rxn07997	0	1	0	0	0	0	0	1	0
rxn06090	1	1	1	0	1	1	1	1	0
rxn13952	0	0	0	0	0	0	0	1	0
rxn01615	0	1	0	0	1	1	1	1	0
rxn03904	1	1	1	1	1	1	1	1	0
rxn01952	0	0	0	0	0	0	0	0	1
rxn00509	0	1	0	0	0	1	1	1	0
rxn11556	0	0	0	0	0	0	0	0	1
rxn11759	0	1	0	0	0	0	0	1	0
rxn02735	0	0	0	0	0	0	0	0	1
rxn00209	1	1	1	1	1	1	1	1	0
rxn04678	0	1	0	0	0	0	0	1	0
rxn05831	0	1	0	0	0	0	0	1	0
rxn03671	1	1	1	0	1	1	1	1	1
rxn21857	0	1	0	0	0	1	1	1	0
rxn21864	1	1	1	0	1	0	0	1	0
rxn10221	0	1	0	0	1	0	1	1	0
rxn01674	1	1	1	0	1	0	0	1	0
rxn01484	1	0	1	0	1	1	1	1	0
rxn00986	1	1	1	1	1	1	1	1	1
rxn01573	1	1	1	1	1	1	1	1	0
rxn01678	1	1	1	1	1	1	1	1	0
rxn05365	0	0	0	0	0	0	0	1	0
rxn01604	0	0	0	0	0	0	0	1	0
rxn02356	1	1	1	0	1	0	0	1	0
rxn02547	0	1	0	0	0	0	0	1	0
rxn21862	0	1	0	0	0	0	0	1	0
rxn15007	1	1	1	0	0	1	1	1	0
rxn12641	0	0	0	0	0	0	1	1	0
rxn00285	1	1	1	1	1	1	1	1	0
rxn04908	1	1	1	0	1	1	1	1	1
rxn02008	1	1	1	1	1	1	1	1	0
rxn00102	1	1	1	0	1	1	1	1	0
rxn02796	0	0	0	0	0	0	1	1	0
rxn25456	0	1	0	0	0	0	1	1	0
rxn02288	1	1	1	1	1	1	1	1	0
rxn01825	1	1	1	1	1	1	1	1	0
rxn02135	0	0	0	0	0	0	0	0	1
rxn01974	1	1	1	1	1	1	1	1	0
rxn02041	0	0	0	0	0	0	1	1	0
rxn01073	1	1	1	1	1	1	1	1	0
EX_cpd00211	0	0	0	0	0	2	2	2	0
rxn08444	0	1	0	0	0	0	1	1	0
rxn14378	0	0	0	0	0	0	0	0	1
rxn10264	0	1	0	0	1	0	1	1	0
rxn21014	0	1	0	0	0	0	0	1	0
rxn12101	0	0	0	0	0	0	0	0	1
rxn09200	0	1	0	0	1	0	1	1	0
rxn05388	0	0	0	0	0	0	0	1	0
EX_cpd00053	2	2	2	2	2	2	2	2	0
rxn08002	0	1	0	0	0	0	0	1	0
rxn04016	0	0	0	0	0	1	1	1	0
rxn01316	0	0	0	0	0	0	0	1	0
rxn03249	1	0	1	0	0	1	1	1	0
rxn04903	1	1	1	0	1	1	1	1	1
rxn00490	1	1	1	0	0	1	1	1	1
rxn24830	0	1	0	0	0	0	1	1	0
rxn00586	0	1	0	0	0	0	0	1	0
rxn16583	1	1	1	0	1	1	1	1	0
rxn07875	0	0	0	0	0	0	0	1	0
rxn15021	1	1	1	0	1	0	0	1	0
rxn02182	0	0	0	0	0	0	0	1	0
rxn06633	0	1	0	0	0	1	1	1	1
rxn03406	0	1	0	0	1	0	0	1	0
rxn05645	1	1	1	1	1	1	1	1	0
rxn03880	0	0	0	0	0	0	0	0	1
rxn00428	0	1	0	0	0	0	1	1	0
