metabolite,interval_start_h,interval_end_h,dC_dt_nM_per_hr,mean_pro_density_cells_per_mL,per_pro_cell_rate_nmol_per_hr,per_pro_cell_rate_nmol_per_hr_raw,cell_density_quality
2_keto_3_deoxy_6_phosphogluconate,0,2,0.733562863,63955102.928434305,1.146996610764361e-11,1.146996610764361e-11,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,2,4,-0.4398897591666666,63955102.928434305,0.0,-6.878102591108372e-12,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,4,6,-0.5387886093333334,63955102.928434305,0.0,-8.424481935964318e-12,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,6,8,2.5999316526666667,63955102.928434305,4.0652450447558306e-11,4.0652450447558306e-11,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,8,10,-1.4032213898333334,63955102.928434305,0.0,-2.1940726002795066e-11,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,10,12,2.016263191666667,65627551.464217156,3.0722816053346385e-11,3.0722816053346385e-11,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,12,14,-1.5903111888333332,72633333.33333334,0.0,-2.1895059965580538e-11,measured
2_keto_3_deoxy_6_phosphogluconate,14,16,0.6107834859999999,87783333.33333334,6.957852508069107e-12,6.957852508069107e-12,measured
2_keto_3_deoxy_6_phosphogluconate,16,18,-1.9540141600000003,103466666.66666666,0.0,-1.8885446134020624e-11,measured
2_keto_3_deoxy_6_phosphogluconate,18,20,0.6525184140000002,109666666.66666666,5.950015933130701e-12,5.950015933130701e-12,measured
2_keto_3_deoxy_6_phosphogluconate,20,22,0.9453840606666666,111666666.66666666,8.46612591641791e-12,8.46612591641791e-12,measured
2_keto_3_deoxy_6_phosphogluconate,22,24,-0.364130007,110366666.66666666,0.0,-3.2992752068861373e-12,measured
2_keto_3_deoxy_6_phosphogluconate,24,26,1.4197066238333331,111950000.0,1.2681613433080243e-11,1.2681613433080243e-11,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,26,28,-1.5166711808333329,117583333.33333334,0.0,-1.2898691828490426e-11,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,28,30,0.9524775613333332,119166666.66666669,7.992818696503495e-12,7.992818696503495e-12,measured
2_keto_3_deoxy_6_phosphogluconate,30,32,-0.5192569465000001,120000000.0,0.0,-4.327141220833334e-12,measured
2_keto_3_deoxy_6_phosphogluconate,32,34,2.1102886830000016,126166666.66666666,1.6726198280052856e-11,1.6726198280052856e-11,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,34,36,-0.8753175903333346,154333333.3333333,0.0,-5.671604257019447e-12,partial_estimate
2_keto_3_deoxy_6_phosphogluconate,36,38,1.028379070666666,181666666.66666663,5.6608022238532085e-12,5.6608022238532085e-12,measured
2_keto_3_deoxy_6_phosphogluconate,38,40,-1.6736218236666662,191166666.66666663,0.0,-8.754778502179598e-12,measured
2_keto_3_deoxy_6_phosphogluconate,40,42,-3.2017068843333334,201166666.66666663,0.0,-1.5915692879867445e-11,measured
2_keto_3_deoxy_6_phosphogluconate,42,44,2.2641934021666663,205333333.3333333,1.1026915919642856e-11,1.1026915919642856e-11,measured
2_keto_3_deoxy_6_phosphogluconate,44,46,0.6897638678333333,202166666.6666667,3.411857549051937e-12,3.411857549051937e-12,measured
3-phosphoglycerate,0,2,0.4617899523333333,63955102.928434305,7.220533330234428e-12,7.220533330234428e-12,partial_estimate
3-phosphoglycerate,2,4,-0.4617899523333333,63955102.928434305,0.0,-7.220533330234428e-12,partial_estimate
3-phosphoglycerate,4,6,0.7805856815,63955102.928434305,1.2205213435016664e-11,1.2205213435016664e-11,partial_estimate
3-phosphoglycerate,6,8,-0.7805856815,63955102.928434305,0.0,-1.2205213435016664e-11,partial_estimate
3-phosphoglycerate,8,10,1.2641052401666668,63955102.928434305,1.976551021395743e-11,1.976551021395743e-11,partial_estimate
3-phosphoglycerate,10,12,2.886753242666666,65627551.464217156,4.398691065353311e-11,4.398691065353311e-11,partial_estimate
3-phosphoglycerate,12,14,-3.0572257213333334,72633333.33333334,0.0,-4.2091221496099124e-11,measured
3-phosphoglycerate,14,16,1.3456581533333332,87783333.33333334,1.5329312549838615e-11,1.5329312549838615e-11,measured
3-phosphoglycerate,16,18,-2.4392909148333333,103466666.66666666,0.0,-2.3575620955219075e-11,measured
3-phosphoglycerate,18,20,0.0,109666666.66666666,0.0,0.0,measured
3-phosphoglycerate,20,22,0.43535929183333344,111666666.66666666,3.898739926865673e-12,3.898739926865673e-12,measured
3-phosphoglycerate,22,24,1.308439968833333,110366666.66666666,1.1855390838115371e-11,1.1855390838115371e-11,measured
3-phosphoglycerate,24,26,-1.2284798074999999,111950000.0,0.0,-1.097346857972309e-11,partial_estimate
3-phosphoglycerate,26,28,0.023068876666666682,117583333.33333334,1.9619172218284915e-13,1.9619172218284915e-13,partial_estimate
3-phosphoglycerate,28,30,0.8746141394999999,119166666.66666669,7.33941935244755e-12,7.33941935244755e-12,measured
3-phosphoglycerate,30,32,0.16103335283333342,120000000.0,1.3419446069444453e-12,1.3419446069444453e-12,measured
3-phosphoglycerate,32,34,-0.9203726931666666,126166666.66666666,0.0,-7.294895850726553e-12,partial_estimate
3-phosphoglycerate,34,36,2.476610137833333,154333333.3333333,1.6047149921166306e-11,1.6047149921166306e-11,partial_estimate
3-phosphoglycerate,36,38,-0.7841147405000002,181666666.66666663,0.0,-4.3162279293578004e-12,measured
3-phosphoglycerate,38,40,-1.8836683764999997,191166666.66666663,0.0,-9.853539894507411e-12,measured
3-phosphoglycerate,40,42,1.0282478598333336,201166666.66666663,5.1114226669428355e-12,5.1114226669428355e-12,measured
3-phosphoglycerate,42,44,-0.4093970585000002,205333333.3333333,0.0,-1.993816843344157e-12,measured
3-phosphoglycerate,44,46,0.026376732500000166,202166666.6666667,1.3047023495465869e-13,1.3047023495465869e-13,measured
a-ketoglutarate,0,2,2.899324240333333,63955102.928434305,4.533374363540113e-11,4.533374363540113e-11,partial_estimate
a-ketoglutarate,2,4,0.03952446833333223,63955102.928434305,6.180033574109024e-13,6.180033574109024e-13,partial_estimate
a-ketoglutarate,4,6,-5.008696282333332,63955102.928434305,0.0,-7.831581926993469e-11,partial_estimate
a-ketoglutarate,6,8,5.1158763490000005,63955102.928434305,7.999168345838894e-11,7.999168345838894e-11,partial_estimate
a-ketoglutarate,8,10,-0.8069480370000006,63955102.928434305,0.0,-1.2617414405586598e-11,partial_estimate
a-ketoglutarate,10,12,1.2343039586666658,65627551.464217156,1.8807710041409347e-11,1.8807710041409347e-11,partial_estimate
a-ketoglutarate,12,14,0.5969440666666674,72633333.33333334,8.218596603946774e-12,8.218596603946774e-12,measured
a-ketoglutarate,14,16,-0.8130786366666678,87783333.33333334,0.0,-9.262334953483968e-12,measured
a-ketoglutarate,16,18,1.249999791666668,103466666.66666666,1.2081183553479396e-11,1.2081183553479396e-11,measured
a-ketoglutarate,18,20,-0.08323158666666863,109666666.66666666,0.0,-7.589506382978903e-13,measured
a-ketoglutarate,20,22,0.05539521000000036,111666666.66666666,4.960765074626898e-13,4.960765074626898e-13,measured
a-ketoglutarate,22,24,0.0991061266666673,110366666.66666666,8.979715493808575e-13,8.979715493808575e-13,measured
a-ketoglutarate,24,26,2.519373365,111950000.0,2.2504451674854844e-11,2.2504451674854844e-11,partial_estimate
a-ketoglutarate,26,28,0.9587184250000007,117583333.33333334,8.153523104181437e-12,8.153523104181437e-12,partial_estimate
a-ketoglutarate,28,30,-0.40715618499999984,119166666.66666669,0.0,-3.416695258741257e-12,measured
a-ketoglutarate,30,32,1.4638254616666657,120000000.0,1.219854551388888e-11,1.219854551388888e-11,measured
a-ketoglutarate,32,34,1.188347115000001,126166666.66666666,9.418867490092479e-12,9.418867490092479e-12,partial_estimate
a-ketoglutarate,34,36,0.49975069500000124,154333333.3333333,3.2381254535637233e-12,3.2381254535637233e-12,partial_estimate
a-ketoglutarate,36,38,2.222715863333333,181666666.66666663,1.223513319266055e-11,1.223513319266055e-11,measured
a-ketoglutarate,38,40,-0.6107312366666662,191166666.66666663,0.0,-3.1947579947689608e-12,measured
a-ketoglutarate,40,42,-2.4165394166666694,201166666.66666663,0.0,-1.201262344656174e-11,measured
a-ketoglutarate,42,44,-0.40471279999999865,205333333.3333333,0.0,-1.97100389610389e-12,measured
a-ketoglutarate,44,46,2.747307551666669,202166666.6666667,1.3589320123660356e-11,1.3589320123660356e-11,measured
adenosine_5_monophosphate,0,2,0.2762751815000001,63955102.928434305,4.319830144111436e-12,4.319830144111436e-12,partial_estimate
adenosine_5_monophosphate,2,4,0.0024813781666668255,63955102.928434305,3.879875182819243e-14,3.879875182819243e-14,partial_estimate
adenosine_5_monophosphate,4,6,-0.20852627433333348,63955102.928434305,0.0,-3.2605103390526035e-12,partial_estimate
adenosine_5_monophosphate,6,8,0.5162872071666668,63955102.928434305,8.072650711615485e-12,8.072650711615485e-12,partial_estimate
adenosine_5_monophosphate,8,10,-0.18305797983333338,63955102.928434305,0.0,-2.8622888784679948e-12,partial_estimate
adenosine_5_monophosphate,10,12,0.8188218173333335,65627551.464217156,1.2476799744384626e-11,1.2476799744384626e-11,partial_estimate
adenosine_5_monophosphate,12,14,-0.0052775185000002445,72633333.33333334,0.0,-7.265973152822732e-14,measured
adenosine_5_monophosphate,14,16,0.2286010378333332,87783333.33333334,2.604150801215111e-12,2.604150801215111e-12,measured
adenosine_5_monophosphate,16,18,-1.200103708333333,103466666.66666666,0.0,-1.159894048002577e-11,measured
adenosine_5_monophosphate,18,20,0.8040347270000001,109666666.66666666,7.331623650455929e-12,7.331623650455929e-12,measured
adenosine_5_monophosphate,20,22,0.059048119333333204,111666666.66666666,5.287891283582079e-13,5.287891283582079e-13,measured
adenosine_5_monophosphate,22,24,-0.6229270081666669,110366666.66666666,0.0,-5.644158938387197e-12,measured
adenosine_5_monophosphate,24,26,0.9164273101666669,111950000.0,8.186041180586574e-12,8.186041180586574e-12,partial_estimate
adenosine_5_monophosphate,26,28,0.4551037489999996,117583333.33333334,3.870478375620124e-12,3.870478375620124e-12,partial_estimate
adenosine_5_monophosphate,28,30,0.08195994933333361,119166666.66666669,6.877757986014009e-13,6.877757986014009e-13,measured
adenosine_5_monophosphate,30,32,0.23804619983333364,120000000.0,1.983718331944447e-12,1.983718331944447e-12,measured
adenosine_5_monophosphate,32,34,0.3300345764999997,126166666.66666666,2.6158619009247003e-12,2.6158619009247003e-12,partial_estimate
adenosine_5_monophosphate,34,36,1.2266695638333331,154333333.3333333,7.94818291900648e-12,7.94818291900648e-12,partial_estimate
adenosine_5_monophosphate,36,38,-0.8472172908333331,181666666.66666663,0.0,-4.663581417431193e-12,measured
adenosine_5_monophosphate,38,40,0.13034994566666702,191166666.66666663,6.818654524847448e-13,6.818654524847448e-13,measured
adenosine_5_monophosphate,40,42,-1.5501561803333335,201166666.66666663,0.0,-7.705830225352115e-12,measured
adenosine_5_monophosphate,42,44,0.8219741274999999,205333333.3333333,4.003120750811688e-12,4.003120750811688e-12,measured
adenosine_5_monophosphate,44,46,0.5591990360000003,202166666.6666667,2.7660298565539996e-12,2.7660298565539996e-12,measured
cysteate,0,2,0.2969949783333333,63955102.928434305,4.643804242886927e-12,4.643804242886927e-12,partial_estimate
cysteate,2,4,-1.0966438768333333,63955102.928434305,0.0,-1.7147089545934697e-11,partial_estimate
cysteate,4,6,1.3325017625,63955102.928434305,2.0834956109617524e-11,2.0834956109617524e-11,partial_estimate
cysteate,6,8,-1.3325017625,63955102.928434305,0.0,-2.0834956109617524e-11,partial_estimate
cysteate,8,10,1.1886274123333334,63955102.928434305,1.8585341245770588e-11,1.8585341245770588e-11,partial_estimate
cysteate,10,12,-0.03718693333333323,65627551.464217156,0.0,-5.666360012472669e-13,partial_estimate
cysteate,12,14,0.0074113381666665035,72633333.33333334,1.0203769848554156e-13,1.0203769848554156e-13,measured
cysteate,14,16,0.06233709283333355,87783333.33333334,7.101244674387721e-13,7.101244674387721e-13,measured
cysteate,16,18,0.5383992541666667,103466666.66666666,5.203601038981959e-12,5.203601038981959e-12,measured
cysteate,18,20,-0.2055473443333331,109666666.66666666,0.0,-1.874291893617019e-12,measured
cysteate,20,22,0.5810199354999999,111666666.66666666,5.203163601492536e-12,5.203163601492536e-12,measured
cysteate,22,24,0.6002340494999996,110366666.66666666,5.4385446949562035e-12,5.4385446949562035e-12,measured
cysteate,24,26,-0.9290106356666663,111950000.0,0.0,-8.298442480273929e-12,partial_estimate
cysteate,26,28,0.5747242789999998,117583333.33333334,4.887803931963144e-12,4.887803931963144e-12,partial_estimate
cysteate,28,30,-1.9345556243333333,119166666.66666669,0.0,-1.6234033211188807e-11,measured
cysteate,30,32,1.8109016166666667,120000000.0,1.5090846805555556e-11,1.5090846805555556e-11,measured
cysteate,32,34,-2.2573544405,126166666.66666666,0.0,-1.7891844970937915e-11,partial_estimate
cysteate,34,36,2.0221731771666667,154333333.3333333,1.3102633977321817e-11,1.3102633977321817e-11,partial_estimate
cysteate,36,38,1.2411831051666669,181666666.66666663,6.832200578899085e-12,6.832200578899085e-12,measured
cysteate,38,40,-0.7205745303333337,191166666.66666663,0.0,-3.769352381865739e-12,measured
cysteate,40,42,-0.5716825148333333,201166666.66666663,0.0,-2.8418352021541015e-12,measured
cysteate,42,44,-0.2596235398333333,205333333.3333333,0.0,-1.2644003563311689e-12,measured
cysteate,44,46,-0.44896182100000015,202166666.6666667,0.0,-2.220750969497115e-12,measured
desthiobiotin,0,2,0.6120130777533284,63955102.928434305,9.56941744645725e-12,9.56941744645725e-12,partial_estimate
desthiobiotin,2,4,-0.3070811648183045,63955102.928434305,0.0,-4.801511541024772e-12,partial_estimate
desthiobiotin,4,6,1.0255585389734183,63955102.928434305,1.6035601414339325e-11,1.6035601414339325e-11,partial_estimate
desthiobiotin,6,8,-1.385732495265021,63955102.928434305,0.0,-2.1667270191334917e-11,partial_estimate
desthiobiotin,8,10,2.0162577479995623,63955102.928434305,3.152614342995824e-11,3.152614342995824e-11,partial_estimate
desthiobiotin,10,12,1.0386931309836123,65627551.464217156,1.5827089504473598e-11,1.5827089504473598e-11,partial_estimate
desthiobiotin,12,14,0.1746860274334754,72633333.33333334,2.4050393864177425e-12,2.4050393864177425e-12,measured
desthiobiotin,14,16,1.7202760317218733,87783333.33333334,1.959684106764997e-11,1.959684106764997e-11,measured
desthiobiotin,16,18,-1.2170288319992784,103466666.66666666,0.0,-1.1762520927828078e-11,measured
desthiobiotin,18,20,-0.14218697720231432,109666666.66666666,0.0,-1.2965377860393404e-12,measured
desthiobiotin,20,22,-1.3856618891444863,111666666.66666666,0.0,-1.2408912440099879e-11,measured
desthiobiotin,22,24,-1.081869448720656,110366666.66666666,0.0,-9.802501800549587e-12,measured
desthiobiotin,24,26,-0.18006241891692465,111950000.0,0.0,-1.608418212746089e-12,partial_estimate
desthiobiotin,26,28,4.639305846841501,117583333.33333334,3.9455471411834165e-11,3.9455471411834165e-11,partial_estimate
desthiobiotin,28,30,0.17338851629591545,119166666.66666669,1.4550085283573323e-12,1.4550085283573323e-12,measured
desthiobiotin,30,32,-0.002952765862431761,120000000.0,0.0,-2.4606382186931342e-14,measured
desthiobiotin,32,34,6.8119295874718295,126166666.66666666,5.399151588484938e-11,5.399151588484938e-11,partial_estimate
desthiobiotin,34,36,-5.107243507669663,154333333.3333333,0.0,-3.3092290546455704e-11,partial_estimate
desthiobiotin,36,38,-3.8647880004534914,181666666.66666663,0.0,-2.1274062387817388e-11,measured
desthiobiotin,38,40,2.2311381072781113,191166666.66666663,1.1671167082535894e-11,1.1671167082535894e-11,measured
desthiobiotin,40,42,-5.967563442914426,201166666.66666663,0.0,-2.966477270711397e-11,measured
desthiobiotin,42,44,3.9611316123864055,205333333.3333333,1.929122538499873e-11,1.929122538499873e-11,measured
